sector;zone;type;x;y;points
C;C;AT;800;800;600
C;C;CP1;848;883;5
C;C;CP1;691;880;5
C;C;CP1;711;780;5
C;C;CP1;688;716;5
C;C;CP1;770;686;5
C;C;CP1;843;565;5
C;C;CP1;893;762;5
C;C;CP1;928;826;5
NC;NC1;ST2;528;594;20
NC;NC1;ST2;488;673;20
NC;NC1;LT4;551;660;50
NC;NC1;CP1;564;690;5
NC;NC1;CP1;561;649;5
NC;NC1,4;CP2;573;638;5
NC;NC1;CP1;561;649;5
NC;NC1;CP1;513;633;5
NC;NC1,2;CP2;533;543;5
NC;NC2;LT4;602;528;50
NC;NC2;ST2;666;517;20
NC;NC2;ST2;728;501;20
NC;NC2;CP1;587;549;5
NC;NC2,4;CP2;670;547;5
NC;NC2,3;CP2;776;504;5
NC;NC3;ST2;815;513;20
NC;NC3;LT4;787;592;50
NC;NC3;CP1;793;492;5
NC;NC3;CP1;833;545;5
NC;NC3,4;CP2;768;619;5
NC;NC4;ST2;624;657;20
NC;NC4;C6;615;603;100
NC;NC4;ST2;674;583;20
NC;NC4;CP1;701;608;5
NC;NC4,C;CP5;709;647;5
NC;NC4;CP1;670;648;5
NC;NC4;CP1;655;603;5
NE;NE1;ST1;956;80;15
NE;NE1;LT3;1090;91;30
NE;NE1;ST1;1360;108;15
NE;NE1;ST1;1227;70;15
NE;NE1,5;CP2;990;134;5
NE;NE1,6;CP2;1126;61;5
NE;NE1;CP1;1311;95;5
NE;NE1,2;CP2;1360;30;5
NE;NE1,6;CP2;1364;167;5
NE;NE2;ST1;1486;70;15
NE;NE2;ST1;1334;325;15
NE;NE2;LT3;1482;277;30
NE;NE2;CP1;1436;61;5
NE;NE2;CP1;1529;182;5
NE;NE2;CP1;1518;285;5
NE;NE2;CP1;1469;320;5
NE;NE2,6;CP2;1422;250;5
NE;NE2;CP1;1420;332;5
NE;NE3;ST1;1163;436;15
NE;NE3;LT3;1166;345;30
NE;NE3;ST1;1107;354;15
NE;NE3;ST1;1288;363;15
NE;NE3;CP1;1311;419;5
NE;NE3,6;CP2;1272;299;5
NE;NE3;CP1;1254;318;5
NE;NE3;CP1;1214;375;5
NE;NE3;CP1;1134;395;5
NE;NE3,5;CP2;1162;299;5
NE;NE3,5;CP2;1075;375;5
NE;NE4;LT3;1010;398;30
NE;NE4;ST1;920;365;15
NE;NE4;ST1;948;425;15
NE;NE4;CP1;966;371;5
NE;NE4;CP1;957;404;5
NE;NE4;CP1;937;348;5
NE;NE4,5;CP2;925;319;5
NE;NE4;CP1;900;375;5
NE;NE4,NC3;CP4;868;522;5
NE;NE5;LT3;1064;190;30
NE;NE5;ST1;1062;274;15
NE;NE5;ST1;937;220;15
NE;NE5;CP1;1051;255;5
NE;NE5;CP1;1004;212;5
NE;NE5;CP1;1142;214;5
NE;NE5;CP1;1160;250;5
NE;NE5,6;CP2;1212;239;5
NE;NE6;C5;1237;149;70
NE;NE6;ST1;1338;214;15
NE;NE6;ST1;1162;163;15
NE;NE6;CP1;1380;207;5
NE;NE6;CP1;1265;258;5
N;N1;LT3;352;119;30
N;N1;ST1;447;55;15
N;N1;ST1;237;60;15
N;N1;ST1;299;141;15
N;N1;CP1;324;111;5
N;N1,6;CP2;378;145;5
N;N1,2;CP2;505;46;5
N;N2;LT3;768;72;30
N;N2;ST1;682;99;15
N;N2;ST1;608;76;15
N;N2;ST1;838;51;15
N;N2,6;CP2;576;108;5
N;N2;CP1;644;86;5
N;N2,NE5;CP3;905;130;5
N;N2,3;CP2;661;178;5
N;N3;ST1;815;285;15
N;N3;ST1;749;200;15
N;N3;ST1;671;199;15
N;N3;LT3;832;166;30
N;N3;CP1;748;285;5
N;N3,4;CP2;750;325;5
N;N3,6;CP2;673;291;5
N;N4;ST1;804;448;15
N;N4;ST1;707;335;15
N;N4;LT3;763;415;30
N;N4,NE4;CP3;869;395;5
N;N4;CP1;809;402;5
