sector;zone;type;x;y;points
C;C;WC8;800;800;600
C;C;CP3;836;889;5
C;C;CP3;884;788;5
C;C;CP3;787;716;5
C;C;CP7;847;832;5
C;C;CP7;827;757;5
C;C;CP7;761;767;5
C;C;CP7;771;828;5
EC;Z1;ST2;1546;790;20
EC;Z1;CP2;1494;846;5
EC;Z1;CP1;1459;819;5
EC;Z1;LT4;1450;803;50
EC;Z1;ST2;1372;758;20
EC;Z1;STRHD;1368;726;10
EC;Z2;CP2;1373;824;5
EC;Z2;CP1;1318;731;5
EC;Z2;CP1;1492;783;5
EC;Z2;ST2;1495;862;20
EC;Z2;LT4;1570;948;50
EC;Z2;CP1;1499;954;5
EC;Z2;LT2;1507;977;20
EC;Z2;CP2;1471;934;5
EC;Z3;STRHD;1405;912;10
EC;Z3;ST2;1400;882;20
EC;Z3;CP1;1353;839;5
EC;Z3;CP2;1312;824;125
EC;Z3;CP1;1320;872;5
EC;Z3;CP2;1238;811;20
EC;Z3;CP2;1254;849;5
EC;Z3;CP2;1239;784;5
EC;Z4;ST1;1255;687;15
EC;Z4;CP1;1243;666;5
EC;Z4;LT4;1220;729;50
EC;Z4;CP1;1201;731;5
EC;Z4;CP1;1217;750;5
EC;Z4;LT2;1169;671;20
EC;Z4;STRHD;1162;639;10
EC;Z4;CP5;1128;658;5
EC;Z4;CP5;1169;787;5
EC;Z5;CP1;1210;843;5
EC;Z5;CP1;1249;882;5
EC;Z5;ST2;1261;924;20
EC;Z5;STRHD;1222;907;10
EC;Z5;LT4;1200;875;50
EC;Z5;CP1;1188;885;5
EC;Z5;CP5;1141;874;5
E;Z1;ST2;1546;790;20
E;Z1;CP2;1494;846;5
E;Z1;CP1;1459;819;5
E;Z1;LT4;1450;803;50
E;Z1;ST2;1372;758;20
E;Z1;STRHD;1368;726;10
E;Z2;CP2;1373;824;5
E;Z2;CP1;1318;731;5
E;Z2;CP1;1492;783;5
E;Z2;ST2;1495;862;20
E;Z2;LT4;1570;948;50
